entry_date,exit_date,entry_price,exit_price,pnl_%,hold_days,max_confidence
2023-05-30,2023-06-05,"Ticker
LT.NS    2154.36
Name: 2023-05-30 00:00:00, dtype: float64","Ticker
LT.NS    2210.39
Name: 2023-06-05 00:00:00, dtype: float64",2.6,4,0.994
2023-06-08,2023-06-16,"Ticker
LT.NS    2280.55
Name: 2023-06-08 00:00:00, dtype: float64","Ticker
LT.NS    2306.37
Name: 2023-06-16 00:00:00, dtype: float64",1.13,6,0.84
2023-06-30,2023-07-07,"Ticker
LT.NS    2412.35
Name: 2023-06-30 00:00:00, dtype: float64","Ticker
LT.NS    2386.82
Name: 2023-07-07 00:00:00, dtype: float64",-1.06,5,0.853
2023-07-24,2023-08-01,"Ticker
LT.NS    2538.74
Name: 2023-07-24 00:00:00, dtype: float64","Ticker
LT.NS    2622.04
Name: 2023-08-01 00:00:00, dtype: float64",3.28,6,0.902
2023-08-01,2023-08-04,"Ticker
LT.NS    2622.04
Name: 2023-08-01 00:00:00, dtype: float64","Ticker
LT.NS    2606.41
Name: 2023-08-04 00:00:00, dtype: float64",-0.6,3,0.906
2023-09-08,2023-09-18,"Ticker
LT.NS    2878.97
Name: 2023-09-08 00:00:00, dtype: float64","Ticker
LT.NS    2897.08
Name: 2023-09-18 00:00:00, dtype: float64",0.63,6,0.902
2023-09-18,2023-09-20,"Ticker
LT.NS    2897.08
Name: 2023-09-18 00:00:00, dtype: float64","Ticker
LT.NS    2867.46
Name: 2023-09-20 00:00:00, dtype: float64",-1.02,1,0.869
2023-10-03,2023-10-10,"Ticker
LT.NS    3049.28
Name: 2023-10-03 00:00:00, dtype: float64","Ticker
LT.NS    3052.01
Name: 2023-10-10 00:00:00, dtype: float64",0.09,5,0.948
2023-10-25,2023-11-02,"Ticker
LT.NS    2893.36
Name: 2023-10-25 00:00:00, dtype: float64","Ticker
LT.NS    2895.34
Name: 2023-11-02 00:00:00, dtype: float64",0.07,6,0.997
2023-11-02,2023-11-08,"Ticker
LT.NS    2895.34
Name: 2023-11-02 00:00:00, dtype: float64","Ticker
LT.NS    2973.08
Name: 2023-11-08 00:00:00, dtype: float64",2.68,4,0.81
2023-11-13,2023-11-22,"Ticker
LT.NS    3024.72
Name: 2023-11-13 00:00:00, dtype: float64","Ticker
LT.NS    3058.26
Name: 2023-11-22 00:00:00, dtype: float64",1.11,6,0.961
2023-11-28,2023-11-30,"Ticker
LT.NS    3026.21
Name: 2023-11-28 00:00:00, dtype: float64","Ticker
LT.NS    3084.95
Name: 2023-11-30 00:00:00, dtype: float64",1.94,2,0.709
2023-12-01,2023-12-06,"Ticker
LT.NS    3165.76
Name: 2023-12-01 00:00:00, dtype: float64","Ticker
LT.NS    3365.84
Name: 2023-12-06 00:00:00, dtype: float64",6.32,3,0.802
